연도,월,지역,연료,차종,등록대수
2020,1,충청북도,하이브리드,화물,0
2020,1,충청북도,하이브리드,특수,0
2020,1,충청북도,휘발유,승용,287
2020,1,충청북도,휘발유,승합,0
2020,1,충청북도,휘발유,화물,60
2020,1,충청북도,휘발유,특수,0
2020,2,강원도,경유,승용,386
2020,2,강원도,경유,승합,55
2020,2,강원도,경유,화물,499
2020,2,강원도,경유,특수,13
2020,2,강원도,수소,승용,3
2020,2,강원도,수소,승합,0
2020,2,강원도,수소,화물,0
2020,2,강원도,수소,특수,0
2020,2,강원도,전기,승용,2
2020,2,강원도,전기,승합,0
2020,2,강원도,전기,화물,5
2020,2,강원도,전기,특수,0
2020,2,강원도,하이브리드,승용,92
2020,2,강원도,하이브리드,승합,0
2020,2,강원도,하이브리드,화물,0
2020,2,강원도,하이브리드,특수,0
2020,2,강원도,휘발유,승용,240
2020,2,강원도,휘발유,승합,0
2020,2,강원도,휘발유,화물,23
2020,2,강원도,휘발유,특수,0
2020,2,경기도,경유,승용,2979
2020,2,경기도,경유,승합,423
2020,2,경기도,경유,화물,3700
2020,2,경기도,경유,특수,279
2020,2,경기도,수소,승용,33
2020,2,경기도,수소,승합,0
2020,2,경기도,수소,화물,0
2020,2,경기도,수소,특수,0
2020,2,경기도,전기,승용,250
2020,2,경기도,전기,승합,0
2020,2,경기도,전기,화물,210
2020,2,경기도,전기,특수,0
2020,2,경기도,하이브리드,승용,1025
2020,2,경기도,하이브리드,승합,0
2020,2,경기도,하이브리드,화물,0
2020,2,경기도,하이브리드,특수,0
2020,2,경기도,휘발유,승용,2211
2020,2,경기도,휘발유,승합,2
2020,2,경기도,휘발유,화물,127
2020,2,경기도,휘발유,특수,0
2020,2,경상남도,경유,승용,1710
2020,2,경상남도,경유,승합,95
2020,2,경상남도,경유,화물,973
2020,2,경상남도,경유,특수,48
2020,2,경상남도,수소,승용,100
2020,2,경상남도,수소,승합,0
2020,2,경상남도,수소,화물,0
2020,2,경상남도,수소,특수,0
2020,2,경상남도,전기,승용,116
2020,2,경상남도,전기,승합,0
2020,2,경상남도,전기,화물,30
2020,2,경상남도,전기,특수,0
2020,2,경상남도,하이브리드,승용,341
2020,2,경상남도,하이브리드,승합,0
2020,2,경상남도,하이브리드,화물,0
2020,2,경상남도,하이브리드,특수,0
2020,2,경상남도,휘발유,승용,2173
2020,2,경상남도,휘발유,승합,0
2020,2,경상남도,휘발유,화물,32
2020,2,경상남도,휘발유,특수,0
2020,2,경상북도,경유,화물,756
2020,2,경상북도,경유,특수,44
2020,2,경상북도,수소,승용,0
2020,2,경상북도,수소,승합,0
2020,2,경상북도,수소,화물,0
2020,2,경상북도,수소,특수,0
2020,2,경상북도,전기,승용,20
2020,2,경상북도,전기,승합,0
2020,2,경상북도,전기,화물,37
2020,2,경상북도,전기,특수,0
2020,2,경상북도,하이브리드,승용,97
2020,2,경상북도,하이브리드,승합,0
2020,2,경상북도,하이브리드,화물,0
2020,2,경상북도,하이브리드,특수,0
2020,2,경상북도,휘발유,승용,224
2020,2,경상북도,휘발유,승합,0
2020,2,경상북도,휘발유,화물,20
2020,2,경상북도,휘발유,특수,0
2020,2,경상북도,경유,승용,518
2020,2,경상북도,경유,승합,89
2020,2,광주광역시,경유,승용,553
2020,2,광주광역시,경유,승합,22
2020,2,광주광역시,경유,화물,573
2020,2,광주광역시,경유,특수,27
2020,2,광주광역시,수소,승용,0
2020,2,광주광역시,수소,승합,0
2020,2,광주광역시,수소,화물,0
2020,2,광주광역시,수소,특수,0
2020,2,광주광역시,전기,승용,11
2020,2,광주광역시,전기,승합,0
2020,2,광주광역시,전기,화물,13
2020,2,광주광역시,전기,특수,0
2020,2,광주광역시,하이브리드,승용,137
2020,2,광주광역시,하이브리드,승합,0
2020,2,광주광역시,하이브리드,화물,0
2020,2,광주광역시,하이브리드,특수,0
2020,2,광주광역시,휘발유,승용,351
2020,2,광주광역시,휘발유,승합,0
2020,2,광주광역시,휘발유,화물,12
2020,2,광주광역시,휘발유,특수,0
2020,2,대구광역시,경유,승용,661
2020,2,대구광역시,경유,승합,45
2020,2,대구광역시,경유,화물,687
2020,2,대구광역시,경유,특수,46
2020,2,대구광역시,수소,승용,0
2020,2,대구광역시,수소,승합,0
2020,2,대구광역시,수소,화물,0
2020,2,대구광역시,수소,특수,0
2020,2,대구광역시,전기,승용,30
2020,2,대구광역시,전기,승합,0
2020,2,대구광역시,전기,화물,54
2020,2,대구광역시,전기,특수,0
2020,2,대구광역시,하이브리드,승용,265
2020,2,대구광역시,하이브리드,승합,0
2020,2,대구광역시,하이브리드,화물,0
2020,2,대구광역시,하이브리드,특수,0
2020,2,대구광역시,휘발유,승용,1061
2020,2,대구광역시,휘발유,승합,0
2020,2,대구광역시,휘발유,화물,14
2020,2,대구광역시,휘발유,특수,0
2020,2,대전광역시,경유,승용,508
2020,2,대전광역시,경유,승합,34
2020,2,대전광역시,경유,화물,448
2020,2,대전광역시,경유,특수,19
2020,2,대전광역시,수소,승용,0
2020,2,대전광역시,수소,승합,0
2020,2,대전광역시,수소,화물,0
2020,2,대전광역시,수소,특수,0
2020,2,대전광역시,전기,승용,25
2020,2,대전광역시,전기,승합,0
2020,2,대전광역시,전기,화물,9
2020,2,대전광역시,전기,특수,0
2020,2,대전광역시,하이브리드,승용,164
2020,2,대전광역시,하이브리드,승합,0
2020,2,대전광역시,하이브리드,화물,0
2020,2,대전광역시,하이브리드,특수,0
2020,2,대전광역시,휘발유,승용,449
2020,2,대전광역시,휘발유,승합,0
2020,2,대전광역시,휘발유,화물,15
2020,2,대전광역시,휘발유,특수,0
2020,2,부산광역시,경유,승용,1418
2020,2,부산광역시,경유,승합,98
2020,2,부산광역시,경유,화물,614
2020,2,부산광역시,경유,특수,49
2020,2,부산광역시,수소,승용,111
