year,sido,sigungu,vehicle_type,manufacturer,model_name,national_subsidy,local_subsidy,total_subsidy
2026,부산,부산광역시,일반승용,BMW,MINI JCW Aceman E,197.0,59.0,256.0
2026,부산,부산광역시,일반승용,BMW,MINI JCW E,191.0,57.0,248.0
2026,부산,부산광역시,일반승용,BMW,i4 M60 LCI (71HD),233.0,69.0,302.0
2026,부산,부산광역시,일반승용,BMW,i4 eDrive 40 LCI(21HD),244.0,73.0,317.0
2026,부산,부산광역시,일반승용,BMW,i4 eDrive 40 LCI(61HD),256.0,76.0,332.0
2026,부산,부산광역시,일반승용,BMW,i5 eDrive 40,262.0,78.0,340.0
2026,부산,부산광역시,일반승용,BMW,iX1 eDrive20,212.0,63.0,275.0
2026,부산,부산광역시,일반승용,BMW,iX1 xDrive30,192.0,57.0,249.0
2026,부산,부산광역시,일반승용,BMW,iX2 eDrive20,214.0,64.0,278.0
2026,부산,부산광역시,일반승용,BMW,iX3 50 xDrive,275.0,82.0,357.0
2026,부산,부산광역시,일반승용,기아,EV3 GT,248.0,74.0,322.0
2026,부산,부산광역시,일반승용,기아,EV3 롱레인지 2WD 17인치,555.0,166.0,721.0
2026,부산,부산광역시,일반승용,기아,EV3 롱레인지 2WD 19인치,555.0,166.0,721.0
2026,부산,부산광역시,일반승용,기아,EV3 롱레인지 4WD 19인치,539.0,161.0,700.0
2026,부산,부산광역시,일반승용,기아,EV3 스탠다드 2WD,469.0,140.0,609.0
2026,부산,부산광역시,일반승용,기아,EV4 GT,255.0,76.0,331.0
2026,부산,부산광역시,일반승용,기아,EV4 롱레인지 2WD 17인치,555.0,166.0,721.0
2026,부산,부산광역시,일반승용,기아,EV4 롱레인지 2WD 19인치,555.0,166.0,721.0
2026,부산,부산광역시,일반승용,기아,EV4 롱레인지 4WD 19인치,554.0,166.0,720.0
2026,부산,부산광역시,일반승용,기아,EV4 롱레인지 GTL 2WD 19인치,555.0,166.0,721.0
