연도,시도,시군구,차종,제조사,모델명,국비(만원),지방비(만원),보조금(만원)
2026,경기,안양시,일반승용,기아,EV4 스탠다드 2WD 19인치,481,204,685
2026,경기,안양시,일반승용,기아,EV5 GT,232,98,330
2026,경기,안양시,일반승용,기아,EV5 롱레인지 2WD,552,234,786
2026,경기,안양시,일반승용,기아,EV5 롱레인지 4WD 18인치,499,212,711
2026,경기,안양시,일반승용,기아,EV5 롱레인지 4WD 19인치,493,209,702
2026,경기,안양시,일반승용,기아,EV9 GT,245,104,349
2026,경기,안양시,일반승용,기아,EV9 롱레인지 2WD 19인치,270,114,384
2026,경기,안양시,일반승용,기아,EV9 롱레인지 2WD 20인치,268,113,381
2026,경기,안양시,일반승용,기아,EV9 롱레인지 4WD 19인치,254,107,361
2026,경기,안양시,일반승용,기아,EV9 롱레인지 4WD 21인치,260,110,370
2026,경기,안양시,일반승용,기아,EV9 롱레인지 GTL 4WD 21인치,252,107,359
2026,경기,안양시,일반승용,기아,EV9 스탠다드,237,100,337
2026,경기,안양시,일반승용,기아,PV5 패신저 5인승 롱레인지,458,194,652
2026,경기,안양시,일반승용,기아,Pv5 WAV(비용 미지원),648,275,923
2026,경기,안양시,일반승용,기아,Pv5 WAV(비용 지원),448,190,638
2026,경기,안양시,일반승용,기아,The all-new Kia Niro EV,489,207,696
2026,경기,안양시,일반승용,기아,더뉴EV6 롱레인지 2WD 19인치,570,242,812
2026,경기,안양시,일반승용,기아,더뉴EV6 롱레인지 2WD 20인치,559,237,796
2026,경기,안양시,일반승용,기아,더뉴EV6 롱레인지 4WD 19인치,561,238,799
2026,경기,안양시,일반승용,기아,더뉴EV6 롱레인지 4WD 20인치,532,226,758
2026,경기,안양시,일반승용,기아,더뉴EV6 스탠다드,501,212,713
2026,경기,안양시,경·소형,기아,레이 EV 2WD 14인치 1인승 밴,457,194,651
2026,경기,안양시,경·소형,기아,레이 EV 2WD 14인치 2인승 밴,457,194,651
2026,경기,안양시,경·소형,기아,레이 EV 2WD 14인치 4인승 승용,457,194,651
2026,경기,안양시,일반승용,메르세데스벤츠코리아,EQA 250(Facelift),190,80,270
2026,경기,안양시,일반승용,메르세데스벤츠코리아,EQB 300 4MATIC(Facelift),154,65,219
2026,경기,안양시,일반승용,메르세데스벤츠코리아,EQB 300 4MATIC(Facelift)(CY25/2),162,68,230
2026,경기,안양시,일반승용,볼보자동차코리아,볼보 EX30 Single Motor ER,247,104,351
2026,경기,안양시,일반승용,볼보자동차코리아,볼보 EX30CC Twin Motor Perf,222,94,316
2026,경기,안양시,일반승용,비와이디코리아,BYD ATTO 3,126,53,179
2026,경기,안양시,일반승용,비와이디코리아,BYD DOLPHIN,109,46,155
2026,경기,안양시,일반승용,비와이디코리아,BYD DOLPHIN Active,132,56,188
2026,경기,안양시,일반승용,비와이디코리아,BYD SEAL,169,71,240
2026,경기,안양시,일반승용,비와이디코리아,BYD SEAL Dynamic AWD,151,64,215
2026,경기,안양시,일반승용,비와이디코리아,BYD SEALION 7,152,64,216
2026,경기,안양시,일반승용,케이지모빌리티,토레스 EVX 18인치,354,150,504
2026,경기,안양시,일반승용,케이지모빌리티,토레스 EVX 18인치(2026),361,153,514
2026,경기,안양시,일반승용,케이지모빌리티,토레스 EVX 20인치,344,146,490
2026,경기,안양시,일반승용,케이지모빌리티,토레스 EVX 20인치(2026),354,150,504
2026,경기,안양시,일반승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,138,465
2026,경기,안양시,일반승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,132,444
2026,경기,안양시,일반승용,테슬라코리아,Model 3 Performance,200,85,285
2026,경기,안양시,일반승용,테슬라코리아,Model 3 Premium Long Range RWD,420,178,598
2026,경기,안양시,일반승용,테슬라코리아,Model 3 RWD,168,71,239
2026,경기,안양시,일반승용,테슬라코리아,Model 3 RWD(2025),168,71,239
2026,경기,안양시,일반승용,테슬라코리아,Model Y L AWD,210,89,299
2026,경기,안양시,일반승용,테슬라코리아,Model Y Long Range(2025),210,89,299
2026,경기,안양시,일반승용,테슬라코리아,Model Y Premium Long Range,210,89,299
2026,경기,안양시,일반승용,테슬라코리아,Model Y Premium RWD,170,72,242
2026,경기,안양시,일반승용,테슬라코리아,Model Y RWD(2025),170,72,242
2026,경기,안양시,일반승용,폭스바겐그룹코리아,ID.4 Pro,432,183,615
2026,경기,안양시,일반승용,폭스바겐그룹코리아,Q4 45 e-tron,206,87,293
2026,경기,안양시,일반승용,폭스바겐그룹코리아,Q4 Sportback 45 e-tron,206,87,293
2026,경기,안양시,일반승용,폭스바겐그룹코리아,Q6 e-tron performance,220,93,313
2026,경기,안양시,일반승용,폭스바겐그룹코리아,iD.5 Pro,473,201,674
2026,경기,안양시,일반승용,현대자동차,ELECTRIFIED G80,270,114,384
2026,경기,안양시,일반승용,현대자동차,ELECTRIFIED GV70 AWD 19인치,261,110,371
2026,경기,안양시,일반승용,현대자동차,ELECTRIFIED GV70 AWD 20인치,245,104,349
2026,경기,안양시,일반승용,현대자동차,GV60 스탠다드 2WD 19인치,285,121,406
2026,경기,안양시,일반승용,현대자동차,GV60 스탠다드 AWD 19인치,272,115,387
2026,경기,안양시,일반승용,현대자동차,GV60 스탠다드 AWD 20인치,261,110,371
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 19인치,564,239,803
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,567,240,807
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 20인치,559,237,796
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 N라인 20인치,541,229,770
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 스탠다드 19인치,483,205,688
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 19인치,558,237,795
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 20인치,532,226,758
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 N라인 20인치,510,216,726
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 18인치,570,242,812
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 20인치,570,242,812
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 N라인 20인치,570,242,812
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 스탠다드 18인치,560,238,798
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 18인치,570,242,812
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 20인치,553,235,788
2026,경기,안양시,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 N라인 20인치,537,228,765
2026,경기,안양시,일반승용,현대자동차,스타리아 라운지 일렉트릭 7인승,229,97,326
2026,경기,안양시,일반승용,현대자동차,스타리아 리무진 일렉트릭 6인승,229,97,326
2026,경기,안양시,일반승용,현대자동차,아이오닉6 N,250,106,356
2026,경기,안양시,일반승용,현대자동차,아이오닉9 성능형 AWD,272,115,387
2026,경기,안양시,일반승용,현대자동차,아이오닉9 항속형 2WD,274,116,390
2026,경기,안양시,일반승용,현대자동차,아이오닉9 항속형 AWD,271,115,386
2026,경기,안양시,경·소형,현대자동차,캐스퍼 일렉트릭 기본형 15인치,490,208,698
2026,경기,안양시,경·소형,현대자동차,캐스퍼 일렉트릭 크로스 17인치,487,206,693
2026,경기,안양시,경·소형,현대자동차,캐스퍼 일렉트릭 항속형 15인치,490,208,698
2026,경기,안양시,경·소형,현대자동차,캐스퍼 일렉트릭 항속형 17인치(라운지포함),490,208,698
2026,경기,안양시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치,514,218,732
2026,경기,안양시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치 빌트인 캠 미적용,514,218,732
2026,경기,안양시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치,459,195,654
2026,경기,안양시,일반승용,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,437,185,622
2026,경기,부천시,일반승용,BMW,MINI Aceman E,400,120,520
2026,경기,부천시,일반승용,BMW,MINI Aceman SE,400,120,520
2026,경기,부천시,일반승용,BMW,MINI Cooper SE,396,118,514
2026,경기,부천시,일반승용,BMW,MINI Countryman E,217,65,282
2026,경기,부천시,일반승용,BMW,MINI Countryman SE ALL4,203,60,263
2026,경기,부천시,일반승용,BMW,MINI JCW Aceman E,197,59,256
2026,경기,부천시,일반승용,BMW,MINI JCW E,191,57,248
2026,경기,부천시,일반승용,BMW,i4 M60 LCI (71HD),233,69,302
2026,경기,부천시,일반승용,BMW,i4 eDrive 40 LCI(21HD),244,73,317
2026,경기,부천시,일반승용,BMW,i4 eDrive 40 LCI(61HD),256,76,332
2026,경기,부천시,일반승용,BMW,i5 eDrive 40,262,78,340
2026,경기,부천시,일반승용,BMW,iX1 eDrive20,212,63,275
2026,경기,부천시,일반승용,BMW,iX1 xDrive30,192,57,249
2026,경기,부천시,일반승용,BMW,iX2 eDrive20,214,64,278
2026,경기,부천시,일반승용,기아,EV3 GT,248,74,322
2026,경기,부천시,일반승용,기아,EV3 롱레인지 2WD 17인치,555,166,721
2026,경기,부천시,일반승용,기아,EV3 롱레인지 2WD 19인치,555,166,721
